par,period,region,trend_start,trend_slope,trend_intercept,mk_p,n_years
tmean,annual,Neexdzii Kwah,1950,0.0318,-63.4213,0,74
tmean,annual,Neexdzii Kwah,1980,0.0216,-42.9246,0.0299,45
tmean,winter,Neexdzii Kwah,1950,0.0399,-79.7822,1e-4,75
tmean,winter,Neexdzii Kwah,1980,0.023,-46.0222,0.2889,46
tmean,spring,Neexdzii Kwah,1950,0.0293,-58.6217,0,75
tmean,spring,Neexdzii Kwah,1980,0.0071,-14.0729,0.5572,46
tmean,summer,Neexdzii Kwah,1950,0.0356,-71.026,0,75
tmean,summer,Neexdzii Kwah,1980,0.0318,-63.4712,0.017,46
tmean,fall,Neexdzii Kwah,1950,0.0177,-35.1581,0.0078,74
tmean,fall,Neexdzii Kwah,1980,0.0237,-47.044,0.0322,45
tmax,annual,Neexdzii Kwah,1950,0.0292,-58.2761,0,74
tmax,annual,Neexdzii Kwah,1980,0.0199,-39.4388,0.0564,45
tmax,winter,Neexdzii Kwah,1950,0.0439,-87.9238,0,75
tmax,winter,Neexdzii Kwah,1980,0.0326,-65.2395,0.1555,46
tmax,spring,Neexdzii Kwah,1950,0.0295,-59.0396,1e-4,75
tmax,spring,Neexdzii Kwah,1980,0.0048,-9.3334,0.7332,46
tmax,summer,Neexdzii Kwah,1950,0.0307,-61.2782,2e-4,75
tmax,summer,Neexdzii Kwah,1980,0.0306,-61.1036,0.0751,46
tmax,fall,Neexdzii Kwah,1950,0.0129,-25.4974,0.0545,74
tmax,fall,Neexdzii Kwah,1980,0.0151,-29.8643,0.1561,45
tmin,annual,Neexdzii Kwah,1950,0.0333,-66.4721,0,74
tmin,annual,Neexdzii Kwah,1980,0.0234,-46.5711,0.0126,45
tmin,winter,Neexdzii Kwah,1950,0.0361,-72.3286,7e-4,75
tmin,winter,Neexdzii Kwah,1980,0.0192,-38.4136,0.4375,46
tmin,spring,Neexdzii Kwah,1950,0.03,-60.1112,0,75
tmin,spring,Neexdzii Kwah,1980,0.0121,-24.2121,0.4155,46
tmin,summer,Neexdzii Kwah,1950,0.0374,-74.7248,0,75
tmin,summer,Neexdzii Kwah,1980,0.0318,-63.3642,0.0028,46
tmin,fall,Neexdzii Kwah,1950,0.0225,-44.5597,3e-4,74
tmin,fall,Neexdzii Kwah,1980,0.0286,-56.9008,0.0056,45
prcp,annual,Neexdzii Kwah,1950,-0.0327,64.3864,0.6341,74
prcp,annual,Neexdzii Kwah,1980,0.1215,-244.7877,0.3734,45
prcp,winter,Neexdzii Kwah,1950,-0.2419,486.2701,0.1644,75
prcp,winter,Neexdzii Kwah,1980,-0.12,239.0548,0.7619,46
prcp,spring,Neexdzii Kwah,1950,0.2654,-530.0989,0.0301,75
prcp,spring,Neexdzii Kwah,1980,0.2693,-538.7717,0.3156,46
prcp,summer,Neexdzii Kwah,1950,-0.1929,380.7567,0.249,75
prcp,summer,Neexdzii Kwah,1980,-0.1665,326.5382,0.6092,46
prcp,fall,Neexdzii Kwah,1950,-6e-4,1.5258,0.9926,74
prcp,fall,Neexdzii Kwah,1980,0.4241,-849.8048,0.1739,45
vpd,annual,Neexdzii Kwah,1950,0.0077,-15.2933,0,74
vpd,annual,Neexdzii Kwah,1980,0.0058,-11.4928,0.0617,45
vpd,winter,Neexdzii Kwah,1950,9e-4,-1.7117,1e-4,75
vpd,winter,Neexdzii Kwah,1980,9e-4,-1.8188,0.0608,46
vpd,spring,Neexdzii Kwah,1950,0.0078,-15.5709,0,75
vpd,spring,Neexdzii Kwah,1980,0.0068,-13.5717,0.0635,46
vpd,summer,Neexdzii Kwah,1950,0.0175,-34.8552,0.0018,75
vpd,summer,Neexdzii Kwah,1980,0.0119,-23.6556,0.2184,46
vpd,fall,Neexdzii Kwah,1950,0.0025,-5.1141,0.0528,74
vpd,fall,Neexdzii Kwah,1980,0.0038,-7.7036,0.2289,45
rh,annual,Neexdzii Kwah,1950,-0.0194,38.6968,0.0206,74
rh,annual,Neexdzii Kwah,1980,-0.024,47.7494,0.2289,45
rh,winter,Neexdzii Kwah,1950,0.0259,-51.8248,0.0492,75
rh,winter,Neexdzii Kwah,1980,-0.0031,5.9746,0.9095,46
rh,spring,Neexdzii Kwah,1950,-0.0288,57.612,0.0054,75
rh,spring,Neexdzii Kwah,1980,-0.0515,103.1103,0.0468,46
rh,summer,Neexdzii Kwah,1950,-0.0367,73.5059,0.062,75
rh,summer,Neexdzii Kwah,1980,-0.0113,22.9893,0.7764,46
rh,fall,Neexdzii Kwah,1950,-0.0266,53.212,0.0087,74
rh,fall,Neexdzii Kwah,1980,-0.0264,52.7516,0.2776,45
soil_moisture,annual,Neexdzii Kwah,1950,-0.0393,78.8382,0.0479,74
soil_moisture,annual,Neexdzii Kwah,1980,0.0185,-36.6928,0.7174,45
soil_moisture,winter,Neexdzii Kwah,1950,-0.0353,71.2112,0.0178,75
soil_moisture,winter,Neexdzii Kwah,1980,0.0359,-71.5858,0.2329,46
soil_moisture,spring,Neexdzii Kwah,1950,0.0086,-17.566,0.5521,75
soil_moisture,spring,Neexdzii Kwah,1980,0.0128,-25.9961,0.6495,46
soil_moisture,summer,Neexdzii Kwah,1950,-0.0847,168.8367,0.0165,75
soil_moisture,summer,Neexdzii Kwah,1980,-0.0671,133.5355,0.3248,46
soil_moisture,fall,Neexdzii Kwah,1950,-0.0528,107.3063,0.148,74
soil_moisture,fall,Neexdzii Kwah,1980,0.1021,-203.0002,0.2952,45
