name_basin,description,fisheries_value,falls_downstream,area_km2,floodplain_area_ha,trees_ha_2017,trees_ha_2023,tree_loss_ha,tree_loss_pct,ag_ha_2017,ag_ha_2023,ag_change_ha,ag_change_pct,co_total_km,co_spawn_km,co_rear_km,ch_total_km,ch_spawn_km,ch_rear_km,fp_private_ha,fp_crown_ha,fp_other_ha,reserve_area_ha,n_reserves,n_cultural_sites
Bulkley Confluence-McKilligan,"Neexdzii Kwa (Upper Bulkley River) from Wedzin Kwa (Morice River) confluence to McKilligan Road upstream of Houston.  Includes Houston municipality as well as Rasberry Creek, McKillligan Creek and Henry Creek watersheds.",5,0,161.8,1844.510014011307,1082.3700000000001,992.24,-90.13000000000011,-8.3,464.99,497.75000000000006,32.76000000000005,7,148.4,40,48.3,148.4,17.6,39.9,1330.2,159,0,0,0,0
Barren - McQuarrie,Neexdzii Kwa (Upper Bulkley River) mainstem from McKilligan Road to upstream of McQuarrie Creek confluence. Includes Barren Creek and McQuarrie Creek watersheds.,5,0,211.5,1601.3010514368395,738.7900000000001,656.8100000000001,-81.98000000000002,-11.1,395.07,472.75,77.68,19.7,90.8,32.9,39.6,90.8,23.7,38.7,794.8,87.4,0,0,0,1
Perow-Byman,Neexdzii Kwa (Upper Bulkley River) mainstem McKilligan Road to upstream of Byman Creek confluence. Includes Perow Creek and Byman Creek watersheds.,4,0,132.5,958.133084818002,439.01000000000005,375.21000000000004,-63.80000000000001,-14.5,152.26,215.65,63.390000000000015,41.6,71.4,23.7,26.5,71.4,13.5,23.3,364.6,151.3,0,0,0,0
Johnny David-Richfield,Neexdzii Kwa (Upper Bulkley River) from upstream of Byman Creek confluence to upstream of Richfield Creek confluence. Includes Johnny David and Richfield Creek watersheds.,5,0,212.4,1332.2203596599265,320.8,312.6,-8.199999999999989,-2.6,118.59,118.80000000000001,0.21000000000000796,0.2,149.6,43,58.1,149.6,26.1,37.8,194.2,190,0,0,0,0
Cesford-Ailport,Neexdzii Kwa (Upper Bulkley River) mainstem  from upstream of Richfield Creek confluence to Bulkley Falls. Includes Cesford Creek and Ailport Creek watersheds.,5,0,166.2,1707.0564152219322,1337.8,1243.52,-94.27999999999997,-7,399.17,478.67,79.5,19.9,152.9,60.8,70.8,152.9,35.1,61.4,648,563.7,0,0,0,0
Bulkley River Above Falls,Neexdzii Kwa (Upper Bulkley River) mainstem and tributaries upstream of Bulkley Falls to inlet of Bulkley Lake.,3,1,169.8,1729.3727483094924,1006.09,840.6800000000001,-165.40999999999997,-16.4,492.53000000000003,651.35,158.82,32.2,213,59.1,79.5,213,37.7,64.1,797.8,302.8,0,0,0,1
Buck Creek Below Falls,Buck Creek from mouth upstream to Buck Falls located just downstream of the Buck Flats Road bridge 46.7km upstream from confluence with Neexdzii Kwa confluence.,5,0,253.4,1147.4511235043599,938.0600000000001,888.9200000000001,-49.139999999999986,-5.2,245.08,270.28000000000003,25.200000000000017,10.3,150.3,70.5,77.7,150.3,60.5,70.1,418.1,207.5,0,0,0,2
Maxan Creek,Maxan Creek from outlet of Maxan Lake to confluence with Bulkley Lake.,3,1,39.2,603.1531478227128,502.84000000000003,428.89000000000004,-73.94999999999999,-14.7,123.67,197.07,73.39999999999999,59.4,47.4,16.1,19.1,47.4,15.5,17.6,158.7,298.6,0,97.1,3,1
Buck Creek Above Falls,Buck Creek and tributaries upstream of Buck Falls; includes Klo Creek and Goosley Lake.,2,1,313.5,2962.777397286104,1717.51,1613.16,-104.34999999999991,-6.1,852.34,963.4000000000001,111.06000000000006,13,333.7,84.8,127,333.7,51.1,83.1,98.2,1.4,0,0,0,1
Maxan Lake,Maxan Lake and headwater tributaries above lake outlet.,2,1,235.9,2399.3257791142164,1197.71,1147.23,-50.48000000000002,-4.2,339.78000000000003,385.16,45.379999999999995,13.4,168.5,29.9,61.5,168.5,5.8,23.4,6.7,221,0,66.5,1,1
Aitken Creek,Aitken Creek watershed entering Bulkley River near Houston.,3,0,146.7,1476.5567688940241,822.76,640,-182.76,-22.2,431.59000000000003,602.48,170.89,39.6,178.8,35.2,56,178.8,16.7,25.2,113.5,167.9,0,0,0,0
Foxy Creek,Foxy Creek watershed.,2,1,94.5,251.85227501828936,202.70000000000002,199.82000000000002,-2.8799999999999955,-1.4,77.77000000000001,80.89,3.1199999999999903,4,12.7,11.9,11.9,12.7,11.9,11.9,0,0,0,0,0,0
Taman Creek,Taman Creek watershed (local name for Bulkley River upstream of Bulkley Lake).,2,1,93.8,1134.9556321199054,787.7800000000001,745.5600000000001,-42.22000000000003,-5.4,268.08000000000004,283.56,15.479999999999961,5.8,125.2,20.8,38.4,125.2,6.4,13.9,163,682.8,0,50.4,1,0
Gilmore-Day Lakes,"Gilmore Lake, Sunset Lake, Elwin Lake and Day Lakes.",3,0,88.9,1466.3321051474277,571.09,538.1800000000001,-32.90999999999997,-5.8,140.51999999999998,164.51000000000002,23.990000000000038,17.1,144.7,12.6,27,144.7,8.4,15.8,187.6,312.5,0,0,0,3
